parent_directory,file_name,id,tx,sex,phase,trial,escape_arm,start_datetime
EHRAM Cohort 1 DARPA videos,Test 164.mp4,3202,RBSD,F,SD,2,2,2025-11-21T13:23:55
EHRAM Cohort 1 DARPA videos,Test 165.mp4,3203,RBSD,F,SD,2,3,2025-11-21T13:27:18
EHRAM Cohort 1 DARPA videos,Test 166.mp4,3205,RBSD,F,SD,2,0,2025-11-21T13:30:42
EHRAM Cohort 1 DARPA videos,Test 167.mp4,3206,RBSD,F,SD,2,0,2025-11-21T13:34:30
EHRAM Cohort 1 DARPA videos,Test 168.mp4,3207,RBSD,F,SD,2,0,2025-11-21T13:38:30
EHRAM Cohort 1 DARPA videos,Test 169.mp4,3201,RBSD,F,SD,3,1,2025-11-21T13:44:58
EHRAM Cohort 1 DARPA videos,Test 170.mp4,3202,RBSD,F,SD,3,4,2025-11-21T13:48:38
EHRAM Cohort 1 DARPA videos,Test 171.mp4,3203,RBSD,F,SD,3,2,2025-11-21T13:53:21
EHRAM Cohort 1 DARPA videos,Test 172.mp4,3205,RBSD,F,SD,3,6,2025-11-21T13:57:12
EHRAM Cohort 1 DARPA videos,Test 173.mp4,3206,RBSD,F,SD,3,5,2025-11-21T14:01:08
EHRAM Cohort 1 DARPA videos,Test 174.mp4,3207,RBSD,F,SD,3,3,2025-11-21T14:06:00
EHRAM Cohort 1 DARPA videos,Test 175.mp4,3201,RBSD,F,SD,4,4,2025-11-21T14:11:00
EHRAM Cohort 1 DARPA videos,Test 176.mp4,3202,RBSD,F,SD,4,4,2025-11-21T14:14:27
EHRAM Cohort 1 DARPA videos,Test 177.mp4,3203,RBSD,F,SD,4,2,2025-11-21T14:20:12
EHRAM Cohort 1 DARPA videos,Test 178.mp4,3205,RBSD,F,SD,4,4,2025-11-21T14:23:54
EHRAM Cohort 1 DARPA videos,Test 179.mp4,3206,RBSD,F,SD,4,0,2025-11-21T14:27:55
EHRAM Cohort 1 DARPA videos,Test 180.mp4,3207,RBSD,F,SD,4,0,2025-11-21T14:32:29
EHRAM Cohort 1 DARPA videos,Test 181.mp4,3208,NoSD,F,SD,1,5,2025-11-21T15:00:14
EHRAM Cohort 1 DARPA videos,Test 182.mp4,3209,GHSD,F,SD,1,2,2025-11-21T15:06:17
EHRAM Cohort 1 DARPA videos,Test 183.mp4,3210,GHSD,F,SD,1,5,2025-11-21T15:09:53
EHRAM Cohort 1 DARPA videos,Test 184.mp4,3211,GHSD,F,SD,1,4,2025-11-21T15:13:46
EHRAM Cohort 1 DARPA videos,Test 185.mp4,3212,GHSD,F,SD,1,5,2025-11-21T15:18:40
EHRAM Cohort 1 DARPA videos,Test 186.mp4,3213,GHSD,F,SD,1,0,2025-11-21T15:22:46
EHRAM Cohort 1 DARPA videos,Test 187.mp4,3214,GHSD,F,SD,1,0,2025-11-21T15:26:36
EHRAM Cohort 1 DARPA videos,Test 188.mp4,3208,NoSD,F,SD,2,3,2025-11-21T15:30:23
EHRAM Cohort 1 DARPA videos,Test 189.mp4,3209,GHSD,F,SD,2,5,2025-11-21T15:34:02
EHRAM Cohort 1 DARPA videos,Test 190.mp4,3210,GHSD,F,SD,2,6,2025-11-21T15:38:55
EHRAM Cohort 1 DARPA videos,Test 191.mp4,3211,GHSD,F,SD,2,7,2025-11-21T15:44:59
EHRAM Cohort 1 DARPA videos,Test 192.mp4,3212,GHSD,F,SD,2,2,2025-11-21T15:49:50
EHRAM Cohort 1 DARPA videos,Test 193.mp4,3213,GHSD,F,SD,2,7,2025-11-21T15:53:29
EHRAM Cohort 1 DARPA videos,Test 194.mp4,3214,GHSD,F,SD,2,1,2025-11-21T15:57:26
EHRAM Cohort 1 DARPA videos,Test 195.mp4,3208,NoSD,F,SD,3,3,2025-11-21T16:01:16
EHRAM Cohort 1 DARPA videos,Test 196.mp4,3209,GHSD,F,SD,3,2,2025-11-21T16:05:05
EHRAM Cohort 1 DARPA videos,Test 197.mp4,3210,GHSD,F,SD,3,2,2025-11-21T16:08:45
EHRAM Cohort 1 DARPA videos,Test 198.mp4,3211,GHSD,F,SD,3,1,2025-11-21T16:13:26
EHRAM Cohort 1 DARPA videos,Test 199.mp4,3212,GHSD,F,SD,3,1,2025-11-21T16:17:03
EHRAM Cohort 1 DARPA videos,Test 200.mp4,3213,GHSD,F,SD,3,3,2025-11-21T16:21:10
EHRAM Cohort 1 DARPA videos,Test 201.mp4,3214,GHSD,F,SD,3,5,2025-11-21T16:25:46
